,First Row Mean,Second Row Mean
Anger_EmoLex,0.0323159784560143,0.0221309302941956
Anticipation_EmoLex,0.0368043087971274,0.0295520805724887
Disgust_EmoLex,0.0107719928186714,0.014312218393851
Fear_EmoLex,0.0233393177737881,0.0185528756957328
Joy_EmoLex,0.0341113105924596,0.0276967930029154
Negative_EmoLex,0.0457809694793536,0.0461171481579644
Positive_EmoLex,0.0834829443447037,0.0638749006095944
Sadness_EmoLex,0.0350089766606822,0.0269016697588126
Surprise_EmoLex,0.0107719928186714,0.0131195335276967
Trust_EmoLex,0.0502692998204667,0.036840710310098
Valence,6.225696202531642,6.048220338983048
Valence_nwords,0.4414991023339316,0.4728929234031273
Arousal,5.299746835443039,5.3075932203389975
Arousal_nwords,0.3758348294434471,0.4149854227405259
Dominance,5.669113924050633,5.411999999999993
Dominance_nwords,0.4020287253141831,0.4231486880466467
pleasantness,0.1263435114503816,0.0734823188405798
attention,0.2366259541984733,0.2134023188405797
sensitivity,-0.0887862595419847,-0.0749715942028984
aptitude,0.2027099236641222,0.164871304347826
polarity,0.1557748091603053,0.1075182608695651
vader_negative,0.099,0.124
vader_neutral,0.752,0.716
vader_positive,0.149,0.16
vader_compound,0.9961,0.9999
hu_liu_pos_perc,0.5569620253164557,0.5036363636363637
hu_liu_neg_perc,0.4430379746835443,0.4963636363636363
hu_liu_pos_nwords,0.0394973070017953,0.036703325824831
hu_liu_neg_nwords,0.0314183123877917,0.0361733138995627
hu_liu_prop,1.2571428571428571,1.0146520146520146
Positiv_GI,0.0933572710951526,0.0877285979326795
Negativ_GI,0.0574506283662477,0.0730188179167771
Pstv_GI,0.0888689407540394,0.0834879406307977
Affil_GI,0.059245960502693,0.0711635303472038
Ngtv_GI,0.052064631956912,0.0673204346673734
Hostile_GI,0.0323159784560143,0.0424065730188179
Strong_GI,0.1292639138240574,0.1105221309302942
Power_GI,0.0457809694793536,0.0520805724887357
Weak_GI,0.0385996409335727,0.0520805724887357
Submit_GI,0.0152603231597845,0.0182878346143652
Active_GI,0.1355475763016158,0.1311953352769679
Passive_GI,0.0691202872531418,0.107871720116618
Pleasur_GI,0.0026929982046678,0.0072886297376093
Pain_GI,0.0080789946140035,0.0127219719056453
Feel_GI,0.0,0.0002650410813676
Arousal_GI,0.0323159784560143,0.0398886827458256
Emot_GI,0.026032315978456,0.0446594222104426
Virtue_GI,0.0475763016157989,0.0459846276172806
Vice_GI,0.0143626570915619,0.0229260535382984
Ovrst_GI,0.0834829443447037,0.0613570103366021
Undrst_GI,0.0385996409335727,0.0502252849191624
Academ_GI,0.0053859964093357,0.0038430956798303
Doctrin_GI,0.0098743267504488,0.005433342168036
Econ_2_GI,0.0341113105924596,0.0303472038165915
Exch_GI,0.0053859964093357,0.0029154518950437
Econ_GI,0.059245960502693,0.0227935329976146
Exprsv_GI,0.0089766606822262,0.0078187119003445
Legal_GI,0.0098743267504488,0.0074211502782931
Milit_GI,0.0026929982046678,0.0014577259475218
Polit_2_GI,0.0197486535008976,0.0075536708189769
Polit_GI,0.0350089766606822,0.0119268486615425
Relig_GI,0.0,0.0003975616220514
Role_GI,0.0475763016157989,0.0418764908560826
Coll_GI,0.0233393177737881,0.0151073416379538
Work_GI,0.0601436265709156,0.0345878611184733
Ritual_GI,0.0053859964093357,0.0070235886562417
Socrel_GI,0.0619389587073608,0.0730188179167771
Race_GI,0.0,0.0
Kin_2_GI,0.0044883303411131,0.0159024648820567
Male_GI,0.011669658886894,0.0086138351444473
Female_GI,0.0224416517055655,0.0373707924728332
Nonadlt_GI,0.0026929982046678,0.0022528491916247
Hu_GI,0.0700179533213644,0.0568513119533527
Ani_GI,0.0008976660682226,0.0003975616220514
Place_GI,0.0233393177737881,0.0129870129870129
Social_GI,0.0152603231597845,0.0045056983832494
Region_GI,0.0098743267504488,0.0027829313543599
Route_GI,0.0,0.0001325205406838
Aquatic_GI,0.0,0.0
Land_GI,0.0035906642728904,0.0015902464882056
Sky_GI,0.0,0.0002650410813676
Object_GI,0.0206463195691202,0.0345878611184733
Tool_GI,0.011669658886894,0.0165650675854757
Food_GI,0.0008976660682226,0.0007951232441028
Vehicle_GI,0.0,0.0001325205406838
Bldgpt_GI,0.0017953321364452,0.0029154518950437
Comnobj_GI,0.0044883303411131,0.0086138351444473
Natobj_GI,0.0026929982046678,0.0092764378478664
Bodypt_GI,0.0,0.0030479724357275
Comform_GI,0.0305206463195691,0.040286244367877
Com_GI,0.0224416517055655,0.0261065465147097
Say_GI,0.0,0.0009276437847866
Need_GI,0.0215439856373429,0.0249138616485555
Goal_GI,0.0026929982046678,0.0046382189239332
Try_GI,0.011669658886894,0.0137821362311158
Means_GI,0.0314183123877917,0.0371057513914656
Persist_GI,0.0098743267504488,0.0068910681155579
Complet_GI,0.0152603231597845,0.0194805194805194
Fail_GI,0.0026929982046678,0.0116618075801749
Natrpro_GI,0.0098743267504488,0.0193479989398356
Begin_GI,0.0053859964093357,0.0058309037900874
Vary_GI,0.0062836624775583,0.0098065200106016
Increas_GI,0.0089766606822262,0.0132520540683805
Decreas_GI,0.0008976660682226,0.0018552875695732
Finish_GI,0.0062836624775583,0.004770739464617
Stay_GI,0.0008976660682226,0.0027829313543599
Rise_GI,0.0008976660682226,0.0011926848661542
Exert_GI,0.0080789946140035,0.0053008216273522
Fetch_GI,0.0053859964093357,0.0128544924463291
Travel_GI,0.0089766606822262,0.0129870129870129
Fall_GI,0.0017953321364452,0.0011926848661542
Think_GI,0.0,0.0002650410813676
Know_GI,0.0538599640933572,0.0365756692287304
