Feature,Mean Group 1,Std Group 1,Min Group 1,Max Group 1,Mean Group 2,Std Group 2,Min Group 2,Max Group 2
Anger_EmoLex,0.03362320747177935,0.020147008638036822,0.0,0.0625,0.02013633343653857,0.007314035901055115,0.0,0.030359355638166
Positive_EmoLex,0.08151205390357255,0.0223359551496423,0.04,0.1147540983606557,0.06445349893608682,0.010545527522982096,0.0468965517241379,0.0833333333333333
Dominance,5.769629592629593,0.2503212573837563,5.317272727272727,6.166666666666667,5.446113960320401,0.18996496979971822,5.056666666666667,5.784999999999999
pleasantness,0.1317445346343922,0.07645281250416297,-0.0077222222222222,0.2859230769230769,0.0747908104933134,0.04646094803716891,-0.0015238095238095,0.1610427350427349
polarity,0.15720907824933686,0.05462873147859559,0.089,0.2572692307692308,0.11811865190992413,0.03481180444871329,0.0580813008130081,0.1761791044776119
Weak_GI,0.03504314213818133,0.012925787513965396,0.0,0.0503597122302158,0.054364885285295456,0.011178718777594814,0.0374015748031496,0.081180811808118
Passive_GI,0.0617089669886256,0.03443927684878473,0.0,0.1238938053097345,0.11188355640499487,0.022133445087930626,0.0827586206896551,0.1571428571428571
Pleasur_GI,0.00218894587973191,0.003437559926085671,0.0,0.0088495575221238,0.006028661628321206,0.004212735348912077,0.0,0.0137931034482758
Pain_GI,0.0072135462592561,0.00718403647540231,0.0,0.0215827338129496,0.014192880522746226,0.005738917217641478,0.0066225165562913,0.0274725274725274
Emot_GI,0.02366803336248504,0.018434524519364063,0.0,0.0647482014388489,0.04216833585066022,0.014416057026240407,0.0165562913907284,0.0761904761904762
Ovrst_GI,0.0862192599490259,0.026860428101322005,0.04,0.125,0.06354981494194514,0.02214381890672517,0.0175438596491228,0.1166666666666666
Econ_GI,0.053655586149714884,0.03744573599643211,0.0,0.1118012422360248,0.021053117699832032,0.010374770646966722,0.0,0.0439560439560439
Polit_2_GI,0.02083811874437791,0.019941657467043367,0.0,0.0625,0.007450104350739093,0.004449451817921159,0.0,0.0175953079178885
Polit_GI,0.03322069054715119,0.021947216613102893,0.0,0.0625,0.011524396741545605,0.006079885456113587,0.0,0.0234604105571847
Work_GI,0.06205914946349868,0.027919660366571192,0.0176991150442477,0.1150442477876106,0.03615613335265988,0.013599117780183247,0.0131578947368421,0.0714285714285714
Kin_2_GI,0.00430129539764095,0.005873329546872273,0.0,0.0163934426229508,0.013233884684730069,0.01000804561504107,0.0,0.033210332103321
Object_GI,0.0170104572640526,0.014046005608439948,0.0,0.0359712230215827,0.035302138304398205,0.015352651328587747,0.0087976539589442,0.07380073800738
Comnobj_GI,0.00304312699572961,0.006097484864558833,0.0,0.0160427807486631,0.009625340801521224,0.008872678050267858,0.0,0.03690036900369
Natobj_GI,0.0024447163470978097,0.003753956918683465,0.0,0.0088495575221238,0.009768206816042974,0.008722844373490808,0.0,0.03690036900369
Bodypt_GI,0.0,0.0,0.0,0.0,0.0033964769023686185,0.004174799355042696,0.0,0.0166666666666666
Fail_GI,0.00253914227365553,0.005549394887048535,0.0,0.0176991150442477,0.0126625923401952,0.00921332262449933,0.0,0.03690036900369
Natrpro_GI,0.00855165525386742,0.008269847282609152,0.0,0.0252100840336134,0.019810297234907875,0.010533860001626738,0.0,0.0407407407407407
Fetch_GI,0.00626767141423811,0.008905566866536067,0.0,0.0266666666666666,0.013061286784723776,0.006934219242289677,0.0016666666666666,0.0263157894736842
Solve_GI,0.04808849314923776,0.0209720129672484,0.0,0.0719424460431654,0.06616989280493851,0.02122029647133461,0.0407407407407407,0.1285714285714285
Abs_GI,0.05610158707375097,0.026182868627399696,0.0265486725663716,0.12,0.033265417476654915,0.012548135630312759,0.0166666666666666,0.0557184750733137
Self_GI,0.030405633859853547,0.02253059156251225,0.0,0.0655737704918032,0.05622223219635481,0.02080720327435729,0.0234604105571847,0.1
Dav_GI,0.05195637748587858,0.024976750864538266,0.0,0.0840336134453781,0.08075415141455253,0.015036917051621747,0.0531496062992126,0.1083333333333333
Powauth_Lasswell,0.0,0.0,0.0,0.0,0.0008911353851296063,0.0012592889033522525,0.0,0.0037037037037037
Powtot_Lasswell,0.062437352760250954,0.025573879917638143,0.023076923076923,0.125,0.04137374933142024,0.010916405747849474,0.0247252747252747,0.0593607305936073
Rcrelig_Lasswell,0.0,0.0,0.0,0.0,0.0007191766566766438,0.001372931244807901,0.0,0.0047619047619047
Rspoth_Lasswell,0.02270728401714895,0.01761368429920415,0.0,0.0625,0.009660919403830914,0.006819593658367764,0.0,0.0219298245614035
Wlbloss_Lasswell,0.00235876872272673,0.005146496066117006,0.0,0.0163934426229508,0.008760442213069632,0.008593933624508032,0.0,0.03690036900369
Wlbphys_Lasswell,0.00575010667082277,0.008334046119997794,0.0,0.0252100840336134,0.019105280265124015,0.00765940712471459,0.0087976539589442,0.0354330708661417
Wlbpsyc_Lasswell,0.00500330132310027,0.005931192584446959,0.0,0.0163934426229508,0.012266083795450675,0.008816168100901457,0.0,0.0357142857142857
Wlbtot_Lasswell,0.01541396699797971,0.014378548340010318,0.0,0.042016806722689,0.04191739402198178,0.013407346654975718,0.025,0.081180811808118
Enlloss_Lasswell,0.0,0.0,0.0,0.0,0.0012376505262128813,0.0023975506950010346,0.0,0.0091324200913242
Sklpt_Lasswell,0.0005347593582887701,0.00160427807486631,0.0,0.0053475935828877,0.002588676000134644,0.003018191584728128,0.0,0.0111111111111111
Trngain_Lasswell,0.026149326695873658,0.018386052614990687,0.0,0.0625,0.010623537112220294,0.004287650146500965,0.0,0.0166666666666666
Tranlw_Lasswell,0.01754517961541838,0.012313801573444003,0.0,0.0431654676258992,0.027590042980585927,0.009702728243589814,0.0151724137931034,0.05
Posaff_Lasswell,0.00205996693328566,0.004507468719583036,0.0,0.014388489208633,0.012014116877244876,0.0071648751854609125,0.0,0.0290456431535269
politeness_component,0.22035175592101502,0.14798317202243919,0.0360983606557377,0.4432708333333333,0.09585779455982799,0.04053564076675401,0.0218377192982456,0.19127950310559
well_being_component,0.047397009399024706,0.045664702687729763,0.0,0.1323189218869366,0.1920289919484306,0.054958586437824544,0.1138266312298865,0.3542550606220347
objects_component,0.057807961701551704,0.04332618552044599,0.0,0.1471578820912735,0.13274780516227003,0.06795420660630405,0.037208627173032,0.2813630590612628
