Feature,Mean Difference,Std Group 1,Std Group 2,Significant
Anger_EmoLex,0.013486874035240778,0.020147008638036822,0.007314035901055115,True
Anticipation_EmoLex,0.007757965202086853,0.014340426366830757,0.008375113644867448,False
Disgust_EmoLex,-0.0047555092040494455,0.010669255634407902,0.004367943905882019,False
Fear_EmoLex,0.008587746643621458,0.015256478044184315,0.006729444517182313,False
Joy_EmoLex,0.005140341018303858,0.012511830512781956,0.00844789291866793,False
Negative_EmoLex,0.011083180680621557,0.04841832963424611,0.010166355057733679,False
Positive_EmoLex,0.017058554967485734,0.0223359551496423,0.010545527522982096,True
Sadness_EmoLex,0.013925955018521011,0.03414201423968145,0.006588346824536801,False
Surprise_EmoLex,-0.004266035419096053,0.008485946474522983,0.005129815181799883,False
Trust_EmoLex,0.004840487825394535,0.022517359345188535,0.009648924495488088,False
Valence,0.2853950916776151,0.4881142234373259,0.5027404223301138,False
Arousal,-0.02540134382727821,0.268253042821936,0.17418673827259007,False
Dominance,0.3235156323091912,0.2503212573837563,0.18996496979971822,True
pleasantness,0.0569537241410788,0.07645281250416297,0.04646094803716891,True
attention,0.022426281754829747,0.08774617030684345,0.05040786283249362,False
sensitivity,0.01274276426433281,0.08061801090434208,0.020925520329924778,False
aptitude,0.023619155376835482,0.06206098671350821,0.03840217386127318,False
polarity,0.03909042633941273,0.05462873147859559,0.03481180444871329,True
vader_negative,-0.010937499999999989,0.08015017155315389,0.02962678000981544,False
vader_neutral,0.03237500000000004,0.08048136430255144,0.035047958214423865,False
vader_positive,-0.021437499999999998,0.047309618472357186,0.03222764486818731,False
vader_compound,-0.31532499999999997,0.6380092322999723,0.7297087488340811,False
hu_liu_pos_perc,0.018550321327497676,0.24121545521241652,0.11408472932268465,False
hu_liu_neg_perc,-0.01855032132749762,0.24121545521241655,0.11408472932268464,False
hu_liu_prop,0.8620145651347275,2.4426123055621094,0.47973193185297197,False
Positiv_GI,-0.005101071786311792,0.03064304984952915,0.01913107223695018,False
Negativ_GI,-0.005415473784321501,0.04423690461062937,0.01522442600431226,False
Pstv_GI,-0.002816176135020221,0.028939854909381744,0.01807019559221791,False
Affil_GI,-0.016949689765982975,0.02392230557979596,0.021248749767871382,False
Ngtv_GI,-0.009534184853940239,0.02977454414643616,0.01685678594065053,False
Hostile_GI,-0.007356192611162701,0.024837876156137265,0.01306425911868317,False
Strong_GI,0.024814605457207595,0.046844916367647385,0.022864698966119167,False
Power_GI,-0.002172208769813458,0.015765269390404364,0.015686622531897402,False
Weak_GI,-0.01932174314711413,0.012925787513965396,0.011178718777594814,True
Submit_GI,-0.0026705529663696072,0.009639004728094364,0.00698987630134288,False
Active_GI,0.0039011224358416197,0.021713206656743412,0.0197000404844065,False
Passive_GI,-0.050174589416369264,0.03443927684878473,0.022133445087930626,True
Pleasur_GI,-0.003839715748589296,0.003437559926085671,0.004212735348912077,True
Pain_GI,-0.006979334263490127,0.00718403647540231,0.005738917217641478,True
Feel_GI,-0.000583007175472925,0.0,0.0015428798818303518,False
Arousal_GI,-0.00799471771970605,0.02053884462380043,0.014307530751743174,False
Emot_GI,-0.018500302488175177,0.018434524519364063,0.014416057026240407,True
Virtue_GI,0.0017541299658800774,0.023206710899790622,0.013468643556116667,False
Vice_GI,-0.004238533368819082,0.01997993840579877,0.009138018946377464,False
Ovrst_GI,0.022669445007080763,0.026860428101322005,0.02214381890672517,True
Undrst_GI,-0.015303661505170263,0.025396570763353072,0.015822598869658953,False
Academ_GI,0.006246340729579294,0.019197549445299486,0.005171423449309009,False
Doctrin_GI,0.002992964756788027,0.00904576767030352,0.005000577009747921,False
Econ_2_GI,0.0007945858323656248,0.02188170000645158,0.014650079040076012,False
Exch_GI,0.0021696016156709666,0.006078322540715607,0.002639614398381202,False
Econ_GI,0.03260246844988285,0.03744573599643211,0.010374770646966722,True
Exprsv_GI,-0.000964524633612851,0.00945013012919255,0.0037022968914078224,False
Legal_GI,0.008493330995080508,0.019212600522692008,0.004299797571961399,False
Milit_GI,9.154020343405799e-05,0.004093788843772857,0.0025520710607170064,False
Polit_2_GI,0.013388014393638816,0.019941657467043367,0.004449451817921159,True
Polit_GI,0.021696293805605584,0.021947216613102893,0.006079885456113587,True
